customer_id,region,segment,signup_date,cohort_month
C0039,South,ENTERPRISE,2022-06-15,2022-06
C0040,North,ENTERPRISE,2022-01-20,2022-01
C0041,North,MID-MARKET,2024-05-01,2024-05
C0042,East,ENTERPRISE,2023-01-01,2023-01
C0043,North,SMB,2024-04-15,2024-04
C0044,North,ENTERPRISE,2022-05-12,2022-05
C0045,West,ENTERPRISE,2023-06-25,2023-06
C0046,West,ENTERPRISE,2024-02-13,2024-02
C0047,South,MID-MARKET,2023-11-19,2023-11
C0048,East,SMB,2023-04-08,2023-04
C0049,North,ENTERPRISE,2022-12-13,2022-12
C0050,North,ENTERPRISE,2023-08-26,2023-08
C0051,South,SMB,2023-01-01,2023-01
C0052,North,ENTERPRISE,2023-01-01,2023-01
C0053,North,MID-MARKET,2023-01-01,2023-01
C0054,South,MID-MARKET,2022-08-08,2022-08
C0055,South,MID-MARKET,2023-08-08,2023-08
C0056,West,ENTERPRISE,2024-04-06,2024-04
C0057,West,ENTERPRISE,2023-01-01,2023-01
C0058,West,MID-MARKET,2023-04-24,2023-04
C0059,North,MID-MARKET,2023-10-24,2023-10
C0060,North,SMB,2022-12-14,2022-12
C0061,North,ENTERPRISE,2023-07-04,2023-07
C0062,West,ENTERPRISE,2022-10-13,2022-10
C0063,West,ENTERPRISE,2022-03-19,2022-03
C0064,West,ENTERPRISE,2023-01-01,2023-01
C0065,North,SMB,2024-05-19,2024-05
C0066,South,ENTERPRISE,2023-05-08,2023-05
C0067,South,SMB,2022-06-18,2022-06
C0068,West,SMB,2022-09-29,2022-09
C0069,West,MID-MARKET,2024-01-19,2024-01
C0070,West,ENTERPRISE,2022-08-11,2022-08
C0071,North,ENTERPRISE,2022-03-04,2022-03
C0072,East,SMB,2023-01-01,2023-01
C0073,West,ENTERPRISE,2023-06-28,2023-06
C0074,South,SMB,2022-03-24,2022-03
C0075,South,SMB,2023-11-23,2023-11
C0076,South,SMB,2023-08-07,2023-08
C0077,South,ENTERPRISE,2023-09-27,2023-09
C0078,North,SMB,2023-08-02,2023-08
C0079,East,MID-MARKET,2024-01-04,2024-01
C0080,East,ENTERPRISE,2022-05-15,2022-05
C0081,East,SMB,2024-02-09,2024-02
C0082,North,SMB,2023-07-31,2023-07
C0083,North,SMB,2023-06-03,2023-06
C0084,East,ENTERPRISE,2022-03-12,2022-03
C0085,South,MID-MARKET,2023-03-25,2023-03
C0086,East,ENTERPRISE,2024-04-06,2024-04
C0087,North,MID-MARKET,2022-11-03,2022-11
C0088,North,ENTERPRISE,2022-04-20,2022-04
C0089,South,MID-MARKET,2022-08-04,2022-08
C0090,East,ENTERPRISE,2024-05-23,2024-05
C0091,East,ENTERPRISE,2024-05-16,2024-05
C0092,North,SMB,2024-04-29,2024-04
C0093,East,SMB,2023-01-01,2023-01
C0094,South,MID-MARKET,2022-06-15,2022-06
C0095,West,ENTERPRISE,2023-07-29,2023-07
C0096,North,SMB,2023-01-01,2023-01
C0097,South,ENTERPRISE,2023-01-01,2023-01
C0098,East,ENTERPRISE,2023-03-17,2023-03
C0099,South,SMB,2024-03-26,2024-03
C0100,North,MID-MARKET,2022-09-13,2022-09
C0101,North,MID-MARKET,2024-06-14,2024-06
C0102,West,ENTERPRISE,2022-08-31,2022-08
C0103,South,ENTERPRISE,2022-01-26,2022-01
C0104,South,MID-MARKET,2024-03-12,2024-03
C0105,West,MID-MARKET,2024-04-10,2024-04
C0106,South,MID-MARKET,2023-12-20,2023-12
C0107,North,SMB,2024-05-29,2024-05
C0108,West,ENTERPRISE,2023-04-17,2023-04
C0109,East,MID-MARKET,2024-06-11,2024-06
C0110,South,ENTERPRISE,2023-01-01,2023-01
C0111,South,SMB,2024-06-04,2024-06
C0112,North,MID-MARKET,2023-06-06,2023-06
C0113,West,MID-MARKET,2023-07-04,2023-07
C0114,East,SMB,2022-09-25,2022-09
C0115,South,ENTERPRISE,2022-09-29,2022-09
C0116,North,SMB,2022-12-20,2022-12
C0117,East,SMB,2023-06-08,2023-06
C0118,North,SMB,2022-07-14,2022-07
C0119,East,SMB,2022-01-02,2022-01
C0120,South,MID-MARKET,2023-11-12,2023-11
C0121,East,ENTERPRISE,2024-05-18,2024-05
C0122,North,MID-MARKET,2023-06-04,2023-06
C0123,East,MID-MARKET,2023-02-17,2023-02
C0124,East,ENTERPRISE,2023-03-07,2023-03
C0125,West,MID-MARKET,2022-06-28,2022-06
C0126,East,SMB,2022-01-01,2022-01
C0127,East,MID-MARKET,2024-03-15,2024-03
C0128,East,SMB,2023-11-23,2023-11
C0129,South,ENTERPRISE,2024-03-26,2024-03
C0130,South,MID-MARKET,2023-01-01,2023-01
C0131,East,SMB,2024-02-09,2024-02
C0132,South,MID-MARKET,2024-04-05,2024-04
C0133,South,ENTERPRISE,2023-01-01,2023-01
C0134,South,SMB,2024-02-26,2024-02
C0135,North,SMB,2023-10-07,2023-10
C0136,South,MID-MARKET,2023-05-22,2023-05
C0137,West,ENTERPRISE,2023-12-06,2023-12
C0138,North,SMB,2022-08-13,2022-08
C0139,South,MID-MARKET,2022-02-21,2022-02
C0140,South,SMB,2024-03-31,2024-03
